,location,total_sqft,bath,price,bhk
1493,Electronic City Phase II,1000.0,2.0,28.88,2
1495,Electronic City Phase II,900.0,2.0,32.5,2
1498,Electronic City Phase II,1418.0,3.0,52.47,3
1499,Electronic City Phase II,1070.0,2.0,45.0,2
1501,Electronic City Phase II,1140.0,2.0,33.06,2
1502,Electronic City Phase II,1089.0,2.0,32.67,2
1504,Electronic City Phase II,1160.0,2.0,33.5,2
1505,Electronic City Phase II,6000.0,4.0,260.0,4
1506,Electronic City Phase II,1116.0,2.0,37.0,2
1507,Electronic City Phase II,1000.0,2.0,28.88,2
1508,Electronic City Phase II,1000.0,2.0,28.88,2
1509,Electronic City Phase II,1000.0,2.0,28.88,2
1511,Electronic City Phase II,1065.0,2.0,30.88,2
1514,Electronic City Phase II,920.0,2.0,26.0,2
1515,Electronic City Phase II,1140.0,2.0,33.84,2
1516,Electronic City Phase II,1125.0,2.0,32.49,2
1519,Electronic City Phase II,1140.0,2.0,32.92,2
1520,Electronic City Phase II,1116.0,2.0,40.0,2
1521,Electronic City Phase II,1150.0,3.0,46.0,3
1522,Electronic City Phase II,1192.0,2.0,47.0,3
1523,Electronic City Phase II,1502.0,3.0,50.0,3
1524,Electronic City Phase II,1020.0,2.0,32.0,2
1525,Electronic City Phase II,1020.0,2.0,27.43,2
1526,Electronic City Phase II,1020.0,2.0,29.45,2
1527,Electronic City Phase II,1000.0,2.0,28.88,2
1529,Electronic City Phase II,1125.0,2.0,32.49,2
1530,Electronic City Phase II,1200.0,2.0,34.65,2
1531,Electronic City Phase II,1160.0,2.0,52.2,2
1532,Electronic City Phase II,1244.0,2.0,55.0,2
1533,Electronic City Phase II,1160.0,2.0,33.51,2
1536,Electronic City Phase II,972.0,2.0,40.0,2
1537,Electronic City Phase II,1160.0,2.0,33.51,2
1539,Electronic City Phase II,1090.0,2.0,31.48,2
1540,Electronic City Phase II,1140.0,2.0,32.92,2
1541,Electronic City Phase II,1160.0,2.0,33.5,2
1542,Electronic City Phase II,1025.0,2.0,29.6,2
1543,Electronic City Phase II,829.0,2.0,22.8,2
1545,Electronic City Phase II,1125.0,2.0,32.63,2
1546,Electronic City Phase II,1140.0,2.0,34.0,2
1549,Electronic City Phase II,1135.0,2.0,46.0,2
1550,Electronic City Phase II,1165.0,2.0,33.64,2
1552,Electronic City Phase II,1336.0,2.0,50.35,3
1553,Electronic City Phase II,575.0,1.0,16.75,1
1554,Electronic City Phase II,1065.0,2.0,30.76,2
1555,Electronic City Phase II,1065.0,2.0,30.75,2
1556,Electronic City Phase II,1140.0,2.0,33.06,2
1557,Electronic City Phase II,911.0,2.0,26.5,2
1558,Electronic City Phase II,1200.0,2.0,34.65,2
1561,Electronics City Phase 1,1475.0,3.0,78.29,3
1562,Electronics City Phase 1,1490.0,3.0,78.8,3
1563,Electronics City Phase 1,1113.27,2.0,53.0,2
1564,Electronics City Phase 1,1175.0,2.0,51.47,2
1565,Electronics City Phase 1,1160.0,2.0,52.0,2
1568,Electronics City Phase 1,1515.0,2.0,80.91,3
1569,Electronics City Phase 1,995.0,2.0,46.0,2
1570,Electronics City Phase 1,1555.0,2.0,82.0,3
1571,Electronics City Phase 1,1124.0,2.0,55.0,3
1572,Electronics City Phase 1,1175.0,2.0,57.0,2
1573,Electronics City Phase 1,580.0,1.0,27.0,1
1574,Electronics City Phase 1,940.0,2.0,49.0,2
1575,Electronics City Phase 1,1335.0,2.0,67.0,2
1576,Electronics City Phase 1,1113.12,2.0,55.0,2
1577,Electronics City Phase 1,1350.0,3.0,71.0,3
1578,Electronics City Phase 1,995.0,2.0,49.8,2
1579,Electronics City Phase 1,1450.0,3.0,72.54,3
1580,Electronics City Phase 1,360.0,1.0,16.9,1
1581,Electronics City Phase 1,638.0,1.0,32.0,1
1582,Electronics City Phase 1,1200.0,2.0,59.76,2
1583,Electronics City Phase 1,1145.0,2.0,54.0,2
1584,Electronics City Phase 1,1550.0,2.0,82.0,3
1585,Electronics City Phase 1,865.0,2.0,40.0,2
1588,Electronics City Phase 1,1800.0,3.0,93.0,3
1589,Electronics City Phase 1,1314.0,2.0,60.0,2
1590,Electronics City Phase 1,1170.0,2.0,62.0,2
1591,Electronics City Phase 1,940.0,2.0,48.0,2
1592,Electronics City Phase 1,940.0,2.0,44.0,2
1593,Electronics City Phase 1,1300.0,2.0,67.0,2
1594,Electronics City Phase 1,1028.0,2.0,51.0,2
1595,Electronics City Phase 1,1205.0,2.0,60.0,2
1597,Electronics City Phase 1,1305.0,2.0,67.0,2
1598,Electronics City Phase 1,1175.0,2.0,60.0,2
1599,Frazer Town,1700.0,3.0,180.0,3
1600,Frazer Town,1870.0,3.0,185.0,3
1601,Frazer Town,1750.0,3.0,150.0,3
1602,Frazer Town,2000.0,3.0,200.0,3
1603,Frazer Town,3500.0,4.0,330.0,3
1604,Frazer Town,1550.0,2.0,140.0,2
1605,Frazer Town,2560.0,3.0,265.0,3
1606,Frazer Town,2400.0,3.0,260.0,3
1607,Frazer Town,3436.0,5.0,341.0,4
1609,Frazer Town,1315.0,2.0,140.0,2
1610,Frazer Town,1706.0,3.0,154.0,3
1611,Frazer Town,2079.0,3.0,220.0,3
1612,Frazer Town,3435.0,2.0,341.0,4
1613,Frazer Town,3436.0,5.0,345.0,4
1614,Frazer Town,1180.0,2.0,105.0,2
1615,Frazer Town,1870.0,3.0,180.0,3
1616,Frazer Town,1420.0,2.0,120.0,2
1617,GM Palaya,1820.0,2.0,86.0,3
1618,GM Palaya,1140.0,2.0,48.95,2
1619,GM Palaya,1315.0,3.0,64.0,3
1620,GM Palaya,1643.0,2.0,70.0,3
1621,Garudachar Palya,1325.0,2.0,60.8,3
1622,Garudachar Palya,1060.0,2.0,48.7,2
1623,Garudachar Palya,1150.0,2.0,52.75,2
1624,Garudachar Palya,1295.0,2.0,59.5,3
1625,Garudachar Palya,1320.0,2.0,60.6,3
1626,Garudachar Palya,1295.0,2.0,59.5,3
1627,Garudachar Palya,1150.0,2.0,52.8,2
1628,Garudachar Palya,1150.0,2.0,52.8,2
1629,Garudachar Palya,1060.0,2.0,48.5,2
1630,Garudachar Palya,1150.0,2.0,52.5,2
1631,Garudachar Palya,1325.0,2.0,60.8,3
1632,Garudachar Palya,1060.0,2.0,48.66,2
1633,Giri Nagar,2400.0,4.0,400.0,4
1634,Giri Nagar,1350.0,3.0,240.0,3
1635,Giri Nagar,2400.0,4.0,400.0,4
1636,Giri Nagar,2400.0,6.0,400.0,6
1637,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
1638,Gollarapalya Hosahalli,861.0,2.0,36.5,2
1639,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
1640,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
1641,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
1642,Gottigere,1100.0,2.0,40.0,2
1643,Gottigere,967.0,2.0,45.0,2
1644,Gottigere,950.0,2.0,38.0,2
1645,Gottigere,1153.0,2.0,48.5,2
1647,Gottigere,1460.0,2.0,65.0,3
1648,Gottigere,1500.0,3.0,70.0,3
1649,Gottigere,1621.0,3.0,72.0,3
1650,Gottigere,990.0,2.0,40.0,2
1651,Gottigere,1385.0,3.0,64.0,3
1654,Gottigere,945.0,2.0,45.0,2
1656,Gottigere,1120.0,2.0,50.0,2
1658,Gottigere,1280.0,2.0,61.0,2
1659,Gottigere,1205.0,2.0,56.58,2
1660,Gottigere,3000.0,3.0,132.0,4
1661,Gottigere,1613.0,3.0,72.0,3
1662,Gottigere,1245.0,2.0,59.0,2
1663,Gottigere,1200.0,2.0,50.0,2
1664,Green Glen Layout,3250.0,4.0,230.0,4
1665,Green Glen Layout,3250.0,4.0,230.0,4
1666,Green Glen Layout,1715.0,3.0,115.0,3
1667,Green Glen Layout,1751.0,2.0,115.0,3
1668,Green Glen Layout,1530.0,3.0,105.0,3
1669,Green Glen Layout,1645.0,3.0,110.0,3
1670,Green Glen Layout,1517.0,3.0,100.0,3
1671,Green Glen Layout,3150.0,4.0,218.0,4
1673,Green Glen Layout,1750.0,3.0,120.0,3
1674,Green Glen Layout,1751.0,3.0,115.0,3
1675,Green Glen Layout,1715.0,3.0,120.0,3
1676,Green Glen Layout,1623.29,2.0,105.0,3
1677,Green Glen Layout,1715.0,3.0,115.0,3
1678,Green Glen Layout,1715.0,3.0,105.0,3
1679,Green Glen Layout,1600.0,3.0,105.0,3
1680,Green Glen Layout,1715.0,3.0,112.0,3
1681,Gubbalala,1470.0,2.0,82.0,3
1682,Gubbalala,1745.0,3.0,104.0,3
1683,Gubbalala,2570.0,4.0,141.0,5
1684,Gubbalala,1205.0,2.0,70.0,2
1685,Gubbalala,1435.0,2.0,80.0,3
1686,Gubbalala,1475.0,2.0,80.0,2
1687,Gubbalala,4000.0,5.0,195.0,4
1688,Gunjur,1140.0,2.0,43.0,2
1689,Gunjur,1600.0,3.0,75.0,3
1690,Gunjur,2000.0,3.0,95.0,4
1691,Gunjur,1140.0,2.0,49.11,2
1692,Gunjur,1195.0,2.0,44.0,2
1693,Gunjur,1457.0,2.0,60.0,2
1694,Gunjur,1080.0,2.0,41.0,2
1697,Gunjur,1175.0,2.0,43.48,2
1698,Gunjur,1362.0,3.0,62.63,3
1699,Gunjur,1071.0,2.0,51.0,2
1700,Gunjur,1063.0,2.0,40.0,2
1701,Gunjur,1235.0,2.0,52.76,2
1702,Gunjur,1362.0,3.0,62.63,3
1703,Gunjur,1362.0,3.0,62.63,3
1704,Gunjur,1457.0,2.0,60.0,2
1705,HAL 2nd Stage,1490.0,2.0,300.0,3
1706,HAL 2nd Stage,600.0,3.0,145.0,2
1707,HBR Layout,2800.0,2.0,200.0,3
1708,HBR Layout,1722.0,3.0,95.0,3
1709,HBR Layout,1783.0,3.0,125.0,3
1710,HBR Layout,1656.0,3.0,90.0,3
1711,HBR Layout,1089.0,2.0,60.0,2
1712,HBR Layout,1700.0,3.0,110.0,3
1713,HBR Layout,1198.0,2.0,65.0,2
1714,HBR Layout,1832.0,3.0,160.0,3
1715,HRBR Layout,1374.0,2.0,95.0,2
1716,HRBR Layout,1440.0,2.0,98.0,2
1718,HRBR Layout,1210.0,2.0,75.0,2
1719,HRBR Layout,1265.0,2.0,78.0,2
1720,HRBR Layout,1170.0,2.0,75.0,2
1721,HRBR Layout,1335.0,2.0,87.0,3
1722,HRBR Layout,1625.0,3.0,120.0,3
1723,HRBR Layout,1145.0,2.0,68.5,2
1724,HRBR Layout,1300.0,2.0,90.0,2
1726,HSR Layout,1372.0,2.0,68.0,2
1727,HSR Layout,1430.0,2.0,65.0,3
1728,HSR Layout,1475.0,3.0,75.0,3
1729,HSR Layout,1140.0,2.0,46.0,2
1730,HSR Layout,1372.0,2.0,61.0,2
1731,HSR Layout,1750.0,3.0,95.0,3
1732,HSR Layout,1027.0,2.0,44.0,2
1733,HSR Layout,1140.0,2.0,46.0,2
1734,HSR Layout,1372.0,2.0,61.0,2
1735,HSR Layout,1140.0,2.0,46.0,2
1736,HSR Layout,1185.0,2.0,60.0,2
1737,HSR Layout,1145.0,2.0,48.0,2
1738,HSR Layout,1009.0,2.0,56.0,2
1739,HSR Layout,1140.0,2.0,46.0,2
1741,HSR Layout,1140.0,2.0,46.0,2
1742,HSR Layout,1145.0,2.0,46.0,2
1743,HSR Layout,1142.0,2.0,65.0,2
1744,HSR Layout,1145.0,2.0,46.0,2
1745,HSR Layout,1844.0,3.0,95.0,3
1746,HSR Layout,1140.0,2.0,46.0,2
1747,HSR Layout,1140.0,2.0,46.0,2
1748,HSR Layout,1145.0,2.0,46.0,2
1749,HSR Layout,1009.0,2.0,56.0,2
1750,HSR Layout,1145.0,2.0,46.0,2
1751,HSR Layout,1100.0,2.0,44.0,2
1752,HSR Layout,1203.0,2.0,60.0,2
1753,HSR Layout,1140.0,2.0,46.0,2
1754,HSR Layout,1289.0,2.0,70.0,2
1755,HSR Layout,1844.0,3.0,89.0,3
1756,HSR Layout,1203.0,2.0,60.0,2
1757,HSR Layout,1140.0,2.0,46.0,2
1758,Haralur Road,1240.0,2.0,70.0,2
1759,Haralur Road,1027.0,2.0,44.0,2
1761,Haralur Road,2805.0,5.0,154.0,4
1762,Haralur Road,1194.0,2.0,47.0,2
1763,Haralur Road,1202.0,2.0,53.0,2
1764,Haralur Road,1056.0,2.0,61.0,2
1766,Haralur Road,1810.0,3.0,100.0,3
1767,Haralur Road,1194.0,2.0,46.0,2
1768,Haralur Road,2805.0,4.0,154.0,4
1769,Haralur Road,1225.0,2.0,67.38,2
1770,Haralur Road,1027.0,2.0,44.0,2
1771,Haralur Road,1875.0,3.0,110.0,3
1772,Haralur Road,1194.0,2.0,47.0,2
1773,Haralur Road,1027.0,2.0,44.0,2
1774,Haralur Road,1194.0,2.0,46.0,2
1775,Haralur Road,1875.0,3.0,110.0,3
1776,Haralur Road,1092.0,2.0,44.0,2
1777,Haralur Road,2475.0,4.0,130.0,3
1778,Haralur Road,1300.0,2.0,73.0,2
1779,Haralur Road,1194.0,2.0,47.0,2
1780,Haralur Road,1225.0,2.0,67.38,2
1781,Haralur Road,1464.0,2.0,56.0,2
1782,Haralur Road,1000.0,2.0,44.0,2
1783,Haralur Road,3185.0,2.0,175.0,4
1784,Haralur Road,1444.0,2.0,80.0,3
1785,Haralur Road,1027.0,2.0,44.0,2
1787,Haralur Road,1225.0,2.0,70.0,2
1789,Haralur Road,1194.0,2.0,46.0,2
1790,Haralur Road,1830.0,3.0,101.0,3
1791,Haralur Road,1464.0,2.0,56.0,2
1792,Haralur Road,1300.0,2.0,75.0,2
1793,Haralur Road,1027.0,2.0,44.0,2
1794,Haralur Road,2805.0,5.0,160.0,4
1795,Haralur Road,1027.0,2.0,44.0,2
1796,Haralur Road,2017.0,3.0,105.0,3
1797,Haralur Road,1300.0,2.0,60.0,2
1798,Haralur Road,1056.0,2.0,60.0,2
1799,Haralur Road,1245.0,2.0,62.0,2
1800,Haralur Road,1140.0,2.0,58.0,2
1801,Haralur Road,1027.0,2.0,43.0,2
1802,Haralur Road,1194.0,2.0,47.0,2
1803,Haralur Road,1194.0,2.0,47.0,2
1804,Haralur Road,1560.0,3.0,90.0,3
1805,Haralur Road,1520.0,2.0,85.0,3
1806,Haralur Road,1027.0,2.0,44.0,2
1807,Haralur Road,1194.0,2.0,46.0,2
1808,Haralur Road,1580.0,3.0,73.0,3
1809,Haralur Road,1194.0,2.0,47.0,2
1810,Haralur Road,2805.0,4.0,154.0,4
1811,Haralur Road,1510.0,3.0,83.05,3
1812,Haralur Road,1810.0,3.0,100.0,3
1813,Haralur Road,1194.0,2.0,46.0,2
1814,Haralur Road,1194.0,2.0,46.0,2
1815,Haralur Road,1194.0,2.0,47.0,2
1816,Haralur Road,1194.0,2.0,47.0,2
1818,Haralur Road,1710.0,3.0,85.0,3
1819,Haralur Road,1730.0,3.0,95.0,3
1820,Haralur Road,1225.0,2.0,67.48,2
1821,Haralur Road,1225.0,2.0,69.84,2
1822,Haralur Road,1200.0,2.0,46.0,2
1823,Haralur Road,1976.0,3.0,92.0,3
1824,Haralur Road,1300.0,2.0,75.0,2
1825,Haralur Road,1027.0,1.0,44.0,2
1826,Haralur Road,1300.0,2.0,75.0,2
1828,Haralur Road,1230.0,2.0,67.65,2
1829,Haralur Road,1194.0,2.0,46.0,2
1830,Haralur Road,1092.0,2.0,44.0,2
1832,Haralur Road,1735.0,3.0,97.0,3
1833,Haralur Road,1810.0,3.0,97.83,3
1834,Haralur Road,1200.0,2.0,46.0,2
1835,Harlur,1174.0,2.0,69.0,2
1836,Harlur,1197.0,2.0,84.0,2
1837,Harlur,1174.0,2.0,76.0,2
1838,Harlur,1754.0,3.0,125.0,3
1839,Harlur,1290.0,2.0,85.0,2
1840,Harlur,1752.12,3.0,116.0,3
1841,Harlur,1754.0,3.0,124.0,3
1842,Harlur,1152.0,2.0,69.0,2
1843,Harlur,1290.0,2.0,87.0,2
1844,Harlur,1749.0,3.0,115.0,3
1845,Harlur,2240.0,5.0,155.0,3
1847,Harlur,1197.0,2.0,79.0,2
1848,Harlur,1174.0,2.0,78.0,2
1850,Harlur,1197.0,2.0,79.0,2
1852,Harlur,1174.0,2.0,75.0,2
1853,Harlur,1620.0,3.0,110.0,3
1855,Harlur,1755.0,3.0,130.0,3
1856,Harlur,1331.0,2.0,88.0,2
1857,Harlur,1756.0,3.0,128.0,3
1858,Harlur,1749.0,3.0,120.0,3
1859,Harlur,1197.0,2.0,82.0,2
1860,Harlur,1303.0,2.0,90.0,2
1861,Harlur,1174.0,2.0,75.0,2
1862,Harlur,1197.0,2.0,78.0,2
1863,Harlur,1290.0,2.0,89.9,2
1864,Harlur,1386.0,2.0,85.0,2
1865,Harlur,1174.0,2.0,74.0,2
1866,Harlur,1174.0,2.0,78.0,2
1867,Harlur,1755.0,3.0,115.0,3
1868,Harlur,2569.0,4.0,175.0,4
1869,Harlur,1197.0,2.0,77.0,2
1870,Harlur,1752.12,3.0,125.0,3
1871,Harlur,2569.0,5.0,180.0,4
1872,Harlur,1197.0,2.0,76.0,2
1873,Harlur,1197.0,2.0,75.0,2
1874,Harlur,1755.0,3.0,117.0,3
1875,Harlur,1197.0,2.0,79.9,2
1876,Harlur,1370.0,2.0,88.0,2
1879,Hebbal,1349.0,2.0,98.2,2
1880,Hebbal,1760.0,2.0,130.0,3
1881,Hebbal,3450.0,5.0,260.0,3
1883,Hebbal,1337.0,2.0,82.0,2
1884,Hebbal,1349.0,2.0,98.0,2
1888,Hebbal,687.325,2.0,42.72,2
1889,Hebbal,2790.0,5.0,198.0,4
1890,Hebbal,812.0,2.0,55.0,2
1891,Hebbal,2790.0,4.0,198.0,4
1892,Hebbal,3067.0,4.0,230.0,4
1893,Hebbal,3067.0,4.0,230.0,4
1895,Hebbal,823.0,2.0,50.63,2
1897,Hebbal,1420.0,2.0,99.39,2
1898,Hebbal,1700.0,3.0,124.0,3
1899,Hebbal,1420.0,2.0,99.39,2
1901,Hebbal,1440.0,2.0,115.0,2
1903,Hebbal,2400.0,4.0,180.0,3
1905,Hebbal,1420.0,2.0,107.0,2
1906,Hebbal,1320.0,2.0,92.0,2
1907,Hebbal,1645.0,3.0,135.0,3
1909,Hebbal,2600.0,3.0,195.0,3
1911,Hebbal,1251.0,2.0,88.73,2
1912,Hebbal,1645.0,3.0,121.0,3
1914,Hebbal,2790.0,4.0,198.0,4
1915,Hebbal,1645.0,3.0,120.0,3
1916,Hebbal,1255.0,2.0,90.0,3
1919,Hebbal,1636.0,3.0,119.0,3
1920,Hebbal,1255.0,2.0,95.0,3
1921,Hebbal,2790.0,4.0,198.0,4
1922,Hebbal,1255.0,2.0,95.0,3
1923,Hebbal,1349.0,2.0,97.8,2
1925,Hebbal,1344.0,2.0,108.0,2
1926,Hebbal,1255.0,2.0,90.0,3
1928,Hebbal,2790.0,5.0,204.0,4
1929,Hebbal,1987.0,4.0,165.0,3
1930,Hebbal,2790.0,5.0,198.0,4
1931,Hebbal,1299.0,2.0,100.0,2
1933,Hebbal,1390.0,2.0,95.0,2
1934,Hebbal,1333.0,2.0,100.0,2
1936,Hebbal,2650.0,4.0,199.0,3
1937,Hebbal,1800.0,3.0,140.0,3
1938,Hebbal,2470.0,4.0,203.0,4
1939,Hebbal,1255.0,2.0,95.0,3
1940,Hebbal,1333.0,2.0,104.0,2
1942,Hebbal,2600.0,3.0,199.0,3
1943,Hebbal,1345.0,2.0,97.0,2
1944,Hebbal,985.0,2.0,62.0,2
1945,Hebbal,1320.0,2.0,91.0,2
1946,Hebbal,2388.0,3.0,195.0,3
1947,Hebbal,2600.0,3.0,195.0,3
1948,Hebbal,2630.0,5.0,188.0,4
1949,Hebbal,2790.0,5.0,198.0,4
1952,Hebbal,1420.0,2.0,99.39,2
1954,Hebbal,1299.0,2.0,97.0,2
1956,Hebbal,2470.0,5.0,192.0,4
1960,Hebbal,1920.0,3.0,150.0,3
1961,Hebbal,2375.0,4.0,189.0,4
1962,Hebbal,1420.0,2.0,99.26,2
1963,Hebbal,1252.0,2.0,92.0,2
1964,Hebbal,2790.0,4.0,198.0,4
1965,Hebbal,1740.0,2.0,137.0,3
1966,Hebbal,1349.0,2.0,98.0,2
1967,Hebbal,1349.0,2.0,96.8,2
1968,Hebbal Kempapura,1700.0,3.0,155.0,3
1969,Hebbal Kempapura,1800.0,3.0,175.0,3
1970,Hebbal Kempapura,2280.0,5.0,200.0,5
1971,Hebbal Kempapura,2900.0,4.0,240.0,3
1973,Hebbal Kempapura,1466.0,2.0,140.0,3
1974,Hebbal Kempapura,1725.0,2.0,165.0,3
1975,Hebbal Kempapura,1485.0,3.0,132.0,2
1976,Hebbal Kempapura,1800.0,3.0,150.0,3
1977,Hebbal Kempapura,2400.0,5.0,200.0,5
1978,Hebbal Kempapura,1785.0,3.0,165.0,3
1979,Hebbal Kempapura,1730.0,3.0,175.0,3
1980,Hegde Nagar,1569.0,3.0,101.0,3
1981,Hegde Nagar,3000.0,7.0,210.0,6
1982,Hegde Nagar,2026.0,3.0,132.0,3
1983,Hegde Nagar,1801.0,3.0,115.0,3
1984,Hegde Nagar,2112.95,4.0,145.0,3
1985,Hegde Nagar,1200.0,4.0,83.0,4
1986,Hegde Nagar,1703.0,3.0,113.0,3
1987,Hegde Nagar,1570.0,3.0,105.0,3
1988,Hegde Nagar,1584.01,3.0,103.0,3
1989,Hegde Nagar,1965.0,4.0,125.0,3
1990,Hegde Nagar,1200.0,2.0,75.0,2
1991,Hegde Nagar,1965.0,4.0,132.0,3
1992,Hegde Nagar,1847.0,3.0,125.0,3
1993,Hegde Nagar,2144.6,4.0,145.0,3
1994,Hegde Nagar,1718.0,3.0,119.0,3
1995,Hegde Nagar,1847.0,3.0,123.0,3
1996,Hegde Nagar,2087.01,4.0,135.0,3
1997,Hegde Nagar,1884.0,4.0,118.0,3
1998,Hegde Nagar,1930.0,4.0,122.0,3
1999,Hegde Nagar,1584.01,3.0,104.0,3
2000,Hegde Nagar,1000.0,2.0,66.0,2
2001,Hennur,1075.0,2.0,52.0,2
2002,Hennur,1255.0,2.0,52.32,2
2003,Hennur,1225.0,2.0,57.0,2
2004,Hennur,1255.0,2.0,57.5,2
2005,Hennur,1259.0,2.0,57.0,2
2006,Hennur,1255.0,2.0,53.5,2
2007,Hennur,1285.0,2.0,60.0,2
2008,Hennur,1285.0,2.0,60.0,2
2009,Hennur,1255.0,2.0,58.0,2
2010,Hennur,1255.0,2.0,54.5,2
2011,Hennur,1255.0,2.0,55.5,2
2013,Hennur,1160.0,2.0,49.0,2
2014,Hennur,1255.0,2.0,53.5,2
2015,Hennur,1255.0,2.0,55.5,2
2016,Hennur,1255.0,2.0,57.5,2
2017,Hennur,1020.0,2.0,48.0,2
2018,Hennur,1255.0,2.0,52.32,2
2019,Hennur,1295.0,2.0,64.0,2
2021,Hennur,1255.0,2.0,58.0,2
2022,Hennur,1420.0,2.0,62.0,2
2023,Hennur,1155.0,2.0,54.5,2
2024,Hennur,1255.0,2.0,52.32,2
2025,Hennur,1255.0,2.0,52.35,2
2026,Hennur,3517.0,2.0,161.5,4
2027,Hennur,1255.0,2.0,54.5,2
2028,Hennur,1830.5,3.0,84.205,3
2029,Hennur,1255.0,2.0,55.5,2
2030,Hennur,1255.0,2.0,53.57,2
2031,Hennur,1255.0,2.0,56.5,2
2032,Hennur,1050.0,2.0,42.73,2
2033,Hennur,1295.0,2.0,62.0,2
2034,Hennur Road,2089.0,3.0,140.0,3
2035,Hennur Road,1385.0,2.0,83.09,2
2036,Hennur Road,1904.0,3.0,120.0,3
2037,Hennur Road,1891.0,3.0,109.0,3
2038,Hennur Road,1561.0,3.0,95.0,3
2040,Hennur Road,1482.0,2.0,92.0,3
2042,Hennur Road,1482.0,2.0,87.0,3
2043,Hennur Road,1703.0,3.0,101.0,3
2044,Hennur Road,1232.0,2.0,69.61,2
2047,Hennur Road,1680.0,3.0,99.27,3
2048,Hennur Road,1385.0,2.0,83.09,2
2049,Hennur Road,1586.0,3.0,93.94,3
2050,Hennur Road,1975.0,3.0,123.0,3
2052,Hennur Road,901.0,2.0,49.5,2
2053,Hennur Road,1445.0,3.0,86.56,3
2054,Hennur Road,1482.0,2.0,97.0,3
2056,Hennur Road,1036.0,2.0,59.46,2
2057,Hennur Road,1891.0,3.0,109.0,3
2058,Hennur Road,1232.0,2.0,69.61,2
2060,Hennur Road,1936.0,3.0,118.0,3
2061,Hennur Road,1590.0,3.0,96.5,3
2062,Hennur Road,1036.0,2.0,59.45,2
2063,Hennur Road,1832.0,3.0,125.0,3
2064,Hennur Road,1341.0,2.0,75.76,2
2066,Hennur Road,1414.0,2.0,84.18,2
2067,Hennur Road,1949.0,3.0,133.0,3
2068,Hennur Road,1250.0,2.0,77.88,3
2069,Hennur Road,1831.0,3.0,110.0,3
2070,Hennur Road,1232.0,2.0,74.0,2
2071,Hennur Road,1232.0,2.0,66.0,2
2073,Hennur Road,1310.0,2.0,66.0,2
2074,Hennur Road,2002.0,3.0,120.0,3
2075,Hennur Road,1232.0,2.0,69.6,2
2076,Hennur Road,1195.0,2.0,73.0,2
2077,Hennur Road,1061.0,2.0,54.92,2
2079,Hennur Road,2041.0,3.0,128.0,3
2080,Hennur Road,973.0,2.0,56.0,2
2081,Hennur Road,1255.0,2.0,84.0,2
2082,Hennur Road,1232.0,2.0,83.0,2
2083,Hennur Road,1832.0,3.0,116.0,3
2084,Hennur Road,2050.0,3.0,120.0,3
2085,Hennur Road,1445.0,2.0,86.69,3
2088,Hennur Road,1654.0,3.0,97.8,3
2089,Hennur Road,1480.0,3.0,100.0,3
2090,Hennur Road,1450.0,3.0,88.6,3
2091,Hennur Road,1155.0,2.0,69.18,2
2092,Hennur Road,1053.0,2.0,53.0,2
2093,Hennur Road,1904.0,3.0,129.0,3
2094,Hennur Road,1981.0,3.0,134.0,3
2095,Hennur Road,1155.0,2.0,69.18,2
2096,Hennur Road,1590.0,3.0,105.0,3
2097,Hennur Road,2041.0,3.0,138.0,3
2098,Hennur Road,1232.0,2.0,69.61,2
2099,Hennur Road,1748.0,3.0,103.0,3
2100,Hennur Road,1460.0,2.0,80.3,2
2101,Hennur Road,1232.0,2.0,69.61,2
2103,Hennur Road,1445.0,2.0,89.56,3
2104,Hennur Road,973.0,2.0,50.74,2
2106,Hennur Road,1305.0,2.0,77.0,3
2108,Hennur Road,1165.0,2.0,67.0,2
2109,Hennur Road,980.0,2.0,51.0,2
2110,Hennur Road,1232.0,2.0,80.0,2
2111,Hennur Road,950.0,2.0,55.0,2
2112,Hennur Road,1891.0,3.0,110.0,3
2114,Hennur Road,1450.0,2.0,80.0,2
2115,Hennur Road,1155.0,2.0,69.18,2
2116,Hennur Road,1936.0,3.0,131.0,3
2119,Hoodi,1425.0,2.0,80.0,2
2120,Hoodi,1420.0,2.0,75.0,2
2122,Hoodi,1639.0,3.0,98.32,3
2124,Hoodi,1026.0,2.0,60.87,2
2125,Hoodi,1400.0,2.0,78.0,2
2126,Hoodi,1196.0,2.0,71.74,2
2128,Hoodi,1500.0,2.0,84.0,2
2129,Hoodi,1055.0,2.0,57.63,2
2130,Hoodi,1925.0,2.0,114.0,3
2131,Hoodi,1400.0,2.0,82.0,2
2132,Hoodi,1257.0,2.0,69.0,2
2133,Hoodi,1132.0,2.0,67.9,2
2134,Hoodi,1925.0,3.0,110.0,3
2136,Hoodi,1257.0,2.0,71.03,2
2137,Hoodi,1305.0,2.0,75.0,2
2139,Hoodi,1240.0,2.0,65.0,2
2140,Hoodi,1257.0,2.0,68.5,2
2141,Hoodi,1063.0,2.0,61.17,2
2142,Hoodi,1259.0,2.0,69.45,2
2143,Hoodi,711.0,1.0,42.65,1
2145,Hoodi,1715.0,2.0,100.0,3
2147,Hoodi,1447.0,3.0,76.0,2
